champion,position,0,rank
Evelynn,JUNGLE,,platinum
Evelynn,JUNGLE,,platinum
Lux,UTILITY,,platinum
Sona,UTILITY,,platinum
Soraka,UTILITY,,platinum
Sona,UTILITY,,platinum
Sona,UTILITY,,platinum
,,,platinum
,,,platinum
,,,platinum
Lux,UTILITY,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Swain,MIDDLE,,platinum
Swain,UTILITY,,platinum
Swain,MIDDLE,,platinum
,,,platinum
,,,platinum
Nasus,TOP,,platinum
Malphite,TOP,,platinum
Yorick,TOP,,platinum
Nasus,TOP,,platinum
Malzahar,TOP,,platinum
DrMundo,TOP,,platinum
Nasus,TOP,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Pantheon,UTILITY,,platinum
Pantheon,UTILITY,,platinum
Diana,MIDDLE,,platinum
Ekko,MIDDLE,,platinum
Kayle,MIDDLE,,platinum
Kassadin,MIDDLE,,platinum
Fizz,MIDDLE,,platinum
Brand,UTILITY,,platinum
Evelynn,JUNGLE,,platinum
Nunu,JUNGLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Janna,UTILITY,,platinum
Janna,UTILITY,,platinum
Janna,UTILITY,,platinum
Janna,UTILITY,,platinum
Senna,UTILITY,,platinum
Senna,UTILITY,,platinum
TahmKench,UTILITY,,platinum
Nautilus,UTILITY,,platinum
Nautilus,UTILITY,,platinum
,,,platinum
Zed,MIDDLE,,platinum
Yasuo,MIDDLE,,platinum
Zed,MIDDLE,,platinum
Zed,MIDDLE,,platinum
Lissandra,MIDDLE,,platinum
Zed,TOP,,platinum
Azir,MIDDLE,,platinum
Zed,MIDDLE,,platinum
Zed,MIDDLE,,platinum
Zed,MIDDLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Akshan,BOTTOM,,platinum
Senna,BOTTOM,,platinum
Caitlyn,BOTTOM,,platinum
Kaisa,BOTTOM,,platinum
Kaisa,BOTTOM,,platinum
Briar,BOTTOM,,platinum
Briar,JUNGLE,,platinum
Briar,JUNGLE,,platinum
Briar,JUNGLE,,platinum
Briar,JUNGLE,,platinum
Sylas,MIDDLE,,platinum
Aatrox,TOP,,platinum
Aatrox,TOP,,platinum
Aatrox,TOP,,platinum
,,,platinum
,,,platinum
Aatrox,TOP,,platinum
Mordekaiser,TOP,,platinum
Cassiopeia,MIDDLE,,platinum
Fizz,MIDDLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Diana,JUNGLE,,platinum
Jhin,BOTTOM,,platinum
Jhin,BOTTOM,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Volibear,TOP,,platinum
Bard,UTILITY,,platinum
,,,platinum
,,,platinum
Lux,UTILITY,,platinum
Pyke,UTILITY,,platinum
Alistar,UTILITY,,platinum
Karma,UTILITY,,platinum
Zac,JUNGLE,,platinum
Senna,UTILITY,,platinum
Olaf,TOP,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Jax,TOP,,platinum
Jax,TOP,,platinum
Jax,TOP,,platinum
Yasuo,TOP,,platinum
Kayle,TOP,,platinum
Yone,TOP,,platinum
Yone,TOP,,platinum
Yone,MIDDLE,,platinum
Yone,TOP,,platinum
Yone,TOP,,platinum
Nilah,BOTTOM,,platinum
Senna,UTILITY,,platinum
Lux,UTILITY,,platinum
Swain,UTILITY,,platinum
Kennen,UTILITY,,platinum
Velkoz,UTILITY,,platinum
Nautilus,UTILITY,,platinum
Xerath,UTILITY,,platinum
Galio,UTILITY,,platinum
Thresh,UTILITY,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Akali,TOP,,platinum
Viktor,MIDDLE,,platinum
Lucian,MIDDLE,,platinum
Sylas,MIDDLE,,platinum
Ekko,JUNGLE,,platinum
Khazix,JUNGLE,,platinum
Malphite,TOP,,platinum
Irelia,TOP,,platinum
Sylas,JUNGLE,,platinum
Khazix,JUNGLE,,platinum
,,,platinum
,,,platinum
,,,platinum
Tryndamere,TOP,,platinum
Ekko,JUNGLE,,platinum
Rengar,JUNGLE,,platinum
Ekko,JUNGLE,,platinum
Ekko,JUNGLE,,platinum
Rengar,JUNGLE,,platinum
Ekko,JUNGLE,,platinum
Milio,UTILITY,,platinum
Janna,UTILITY,,platinum
,,,platinum
Thresh,UTILITY,,platinum
Milio,UTILITY,,platinum
Bard,UTILITY,,platinum
JarvanIV,JUNGLE,,platinum
JarvanIV,JUNGLE,,platinum
Varus,BOTTOM,,platinum
JarvanIV,JUNGLE,,platinum
Yasuo,MIDDLE,,platinum
Yasuo,MIDDLE,,platinum
Yasuo,MIDDLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Yasuo,MIDDLE,,platinum
Yasuo,MIDDLE,,platinum
Yasuo,MIDDLE,,platinum
,,,platinum
Rengar,JUNGLE,,platinum
Rengar,JUNGLE,,platinum
,,,platinum
,,,platinum
,,,platinum
Rengar,JUNGLE,,platinum
Rengar,JUNGLE,,platinum
Rengar,JUNGLE,,platinum
Rengar,JUNGLE,,platinum
,,,platinum
,,,platinum
Kayn,JUNGLE,,platinum
Irelia,TOP,,platinum
Kayn,JUNGLE,,platinum
Kayn,JUNGLE,,platinum
Kayn,JUNGLE,,platinum
Kayn,JUNGLE,,platinum
Kayn,JUNGLE,,platinum
Kayn,JUNGLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Jinx,BOTTOM,,platinum
KogMaw,BOTTOM,,platinum
Jinx,BOTTOM,,platinum
KogMaw,BOTTOM,,platinum
Jinx,BOTTOM,,platinum
Jinx,BOTTOM,,platinum
MissFortune,BOTTOM,,platinum
Zeri,BOTTOM,,platinum
Zeri,BOTTOM,,platinum
Zeri,BOTTOM,,platinum
Syndra,MIDDLE,,platinum
Jayce,MIDDLE,,platinum
Jayce,MIDDLE,,platinum
Jayce,MIDDLE,,platinum
Orianna,MIDDLE,,platinum
Syndra,MIDDLE,,platinum
Naafiri,MIDDLE,,platinum
Syndra,MIDDLE,,platinum
Ahri,MIDDLE,,platinum
Ahri,MIDDLE,,platinum
Senna,UTILITY,,platinum
Orianna,MIDDLE,,platinum
,,,platinum
,,,platinum
Orianna,MIDDLE,,platinum
AurelionSol,MIDDLE,,platinum
Orianna,MIDDLE,,platinum
Pyke,UTILITY,,platinum
Orianna,MIDDLE,,platinum
Kayle,TOP,,platinum
,,,platinum
Nautilus,UTILITY,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Vayne,BOTTOM,,platinum
,,,platinum
,,,platinum
Vayne,BOTTOM,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Zed,MIDDLE,,platinum
Fizz,MIDDLE,,platinum
,,,platinum
MasterYi,JUNGLE,,platinum
Lissandra,MIDDLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Orianna,MIDDLE,,platinum
Sylas,MIDDLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Mordekaiser,TOP,,platinum
Yorick,JUNGLE,,platinum
Yorick,TOP,,platinum
Yorick,TOP,,platinum
