"win","kills","deaths","dmgObj","dmgTurr","vision_score","totalDmg","totalDmgTaken","totalMinions","gold","position","time","rank"
"True",2,8,31843,445,10,137886,34941,5,9430,"jungle",30.0666666666667,"iron"
"False",2,15,5969,0,9,133485,38140,21,10275,"jungle",34.2833333333333,"iron"
"True",5,3,14292,1387,9,138374,29629,14,10481,"jungle",27.6333333333333,"iron"
"True",11,3,30220,615,11,161674,19657,7,12171,"jungle",24.65,"iron"
"False",0,9,4733,0,7,62497,17935,0,4216,"jungle",16.4666666666667,"iron"
"False",0,4,1166,1166,7,34286,7187,67,6807,"middle",31.1333333333333,"iron"
"False",0,5,0,0,3,16539,6724,39,2880,"middle",14.4333333333333,"iron"
"True",5,3,0,0,9,51418,9217,76,7152,"middle",20.2666666666667,"iron"
"False",6,10,15412,6343,7,264551,44779,256,17550,"top",40.55,"iron"
"True",6,5,3105,2765,10,69213,17237,81,9223,"middle",28.35,"iron"
"True",5,1,6682,1612,19,71659,15753,70,9419,"middle",31.15,"iron"
"False",3,5,9069,2942,10,103877,20530,99,8772,"top",27.6,"iron"
"False",6,10,4804,0,51,158733,47319,53,11289,"jungle",33.8166666666667,"iron"
"True",13,5,12505,5164,21,188836,21333,189,15310,"bottom",34.1333333333333,"iron"
"False",4,4,3781,2598,11,90077,11663,126,8130,"bottom",26.9,"iron"
"True",7,0,4671,2348,6,40951,2777,103,7393,"bottom",15.3666666666667,"iron"
"False",4,8,2433,220,11,104251,24272,142,10079,"bottom",31.3333333333333,"iron"
"True",11,3,22753,13243,23,180648,19561,175,14102,"bottom",37.8,"iron"
"True",6,7,18314,4429,20,167749,19191,172,13821,"bottom",36.05,"iron"
"True",8,3,5979,1070,16,131419,13241,181,12179,"bottom",30.1333333333333,"iron"
"True",4,3,44000,735,10,166795,32371,30,10475,"jungle",27.8166666666667,"iron"
"True",7,2,37491,588,7,181522,33900,36,11728,"jungle",26.7833333333333,"iron"
"True",3,4,7791,520,1,56465,24675,51,8857,"middle",33.7,"iron"
"True",0,4,1690,190,4,43556,17207,58,7509,"middle",32.5666666666667,"iron"
"False",1,3,2600,28,2,79751,17493,91,8640,"middle",33.45,"iron"
"False",8,12,6245,0,5,106579,55681,82,14170,"middle",55.0166666666667,"iron"
"False",7,4,261,78,0,47030,24710,46,8430,"jungle",28.7666666666667,"iron"
"True",9,4,7462,1284,6,78690,19003,74,11794,"middle",34.5666666666667,"iron"
"False",1,9,749,400,3,52642,22634,57,6863,"middle",34.2666666666667,"iron"
"True",2,3,2607,404,0,65752,12477,82,9311,"middle",33.8833333333333,"iron"
"False",0,3,21,0,0,32062,14666,48,4235,"middle",24.35,"iron"
"False",1,6,124,0,3,28834,13057,41,5136,"middle",26.7,"iron"
"False",7,12,8919,150,15,57081,21747,71,8517,"top",27.2333333333333,"iron"
"False",1,7,1250,438,47,85377,19347,61,8988,"utility",35.15,"iron"
"False",6,15,1946,0,53,34140,29669,34,9632,"utility",34.4666666666667,"iron"
"False",2,11,2438,391,87,33747,60589,34,9877,"utility",44.65,"iron"
"False",0,3,10394,210,14,149944,20255,25,7247,"jungle",25.7666666666667,"iron"
"True",7,4,34565,2972,25,284194,31323,96,16419,"jungle",37.7,"iron"
"True",2,3,21909,1638,9,125572,19775,13,7448,"jungle",20.6333333333333,"iron"
"False",3,2,11269,0,8,84226,13532,14,6547,"jungle",15.45,"iron"
"False",0,6,2485,841,12,69723,23527,110,6935,"middle",28.9666666666667,"iron"
"True",5,4,24746,1262,8,159811,29841,29,10804,"jungle",25.9666666666667,"iron"
"False",4,6,6899,969,20,224202,41685,72,12065,"jungle",38.4333333333333,"iron"
"True",1,3,23234,1227,16,131084,21751,11,7951,"jungle",23.1666666666667,"iron"
"False",7,11,17350,10331,17,170773,23878,165,15479,"bottom",36.45,"iron"
"True",4,5,6252,6252,9,54556,9807,99,8704,"bottom",22.6833333333333,"iron"
"False",3,14,11133,1504,5,129607,38534,130,9552,"top",32.6666666666667,"iron"
"False",7,12,8109,2670,8,137180,47851,125,12803,"top",38.1333333333333,"iron"
"True",9,14,9235,2105,9,198002,58199,172,14837,"top",41.1,"iron"
