champion,position,rank
Vex,middle,bronze
Yasuo,top,bronze
Vayne,bottom,bronze
Akali,middle,bronze
Zed,middle,bronze
Renekton,top,bronze
TahmKench,middle,bronze
TahmKench,top,bronze
TahmKench,top,bronze
Milio,utility,bronze
Milio,utility,bronze
Riven,top,bronze
Kaisa,bottom,bronze
Caitlyn,bottom,bronze
Jayce,top,bronze
Irelia,top,bronze
Yone,top,bronze
Yone,top,bronze
Jax,top,bronze
Yone,top,bronze
Kayle,top,bronze
Ezreal,bottom,bronze
Garen,top,bronze
Sett,top,bronze
Fizz,middle,bronze
MasterYi,jungle,bronze
MasterYi,jungle,bronze
Warwick,jungle,bronze
MasterYi,jungle,bronze
Lux,utility,bronze
Lux,utility,bronze
Lux,utility,bronze
Lux,utility,bronze
Maokai,utility,bronze
Maokai,utility,bronze
Graves,jungle,bronze
Shyvana,jungle,bronze
Kayn,jungle,bronze
Shyvana,jungle,bronze
Sylas,jungle,bronze
Evelynn,jungle,bronze
Khazix,jungle,bronze
Aatrox,top,bronze
Renekton,top,bronze
Aatrox,top,bronze
Aatrox,top,bronze
Aatrox,top,bronze
Aatrox,top,bronze
Yorick,top,bronze
Aatrox,top,bronze
Mordekaiser,top,bronze
Mordekaiser,top,bronze
Mordekaiser,top,bronze
Draven,bottom,bronze
Draven,bottom,bronze
Draven,bottom,bronze
Camille,top,bronze
Sion,middle,bronze
AurelionSol,middle,bronze
Veigar,middle,bronze
Garen,middle,bronze
Lux,middle,bronze
Garen,middle,bronze
Irelia,top,bronze
Kindred,bottom,bronze
Fiora,top,bronze
Garen,top,bronze
Illaoi,top,bronze
Lux,utility,bronze
Lux,utility,bronze
Blitzcrank,utility,bronze
Thresh,utility,bronze
Lux,utility,bronze
Lux,utility,bronze
Karma,utility,bronze
Zoe,middle,bronze
Sylas,middle,bronze
Sylas,middle,bronze
Zoe,middle,bronze
Zoe,middle,bronze
Karma,utility,bronze
Alistar,utility,bronze
Blitzcrank,utility,bronze
Braum,utility,bronze
Janna,utility,bronze
Karma,utility,bronze
Karma,utility,bronze
Karma,utility,bronze
Karma,utility,bronze
Karma,utility,bronze
Karma,utility,bronze
Shen,utility,bronze
Yorick,top,bronze
Yorick,top,bronze
Diana,middle,bronze
Katarina,middle,bronze
Vex,middle,bronze
Vex,middle,bronze
Senna,utility,bronze
Kaisa,bottom,bronze
Ziggs,bottom,bronze
MissFortune,bottom,bronze
Kaisa,bottom,bronze
Jhin,bottom,bronze
Viego,jungle,bronze
Ezreal,bottom,bronze
Draven,bottom,bronze
Vayne,bottom,bronze
Vayne,bottom,bronze
Caitlyn,bottom,bronze
Caitlyn,bottom,bronze
Vayne,bottom,bronze
Caitlyn,bottom,bronze
Vayne,bottom,bronze
Twitch,bottom,bronze
Twitch,bottom,bronze
Twitch,bottom,bronze
Twitch,bottom,bronze
Sett,bottom,bronze
Jhin,bottom,bronze
Caitlyn,bottom,bronze
Caitlyn,bottom,bronze
Caitlyn,bottom,bronze
Caitlyn,bottom,bronze
Caitlyn,bottom,bronze
Caitlyn,bottom,bronze
Jhin,bottom,bronze
Illaoi,bottom,bronze
Gangplank,middle,bronze
Gangplank,middle,bronze
Gangplank,middle,bronze
Vex,middle,bronze
Gangplank,middle,bronze
Lulu,utility,bronze
Bard,utility,bronze
Lulu,utility,bronze
Lulu,utility,bronze
Lulu,utility,bronze
Lulu,utility,bronze
Lulu,utility,bronze
Lulu,utility,bronze
Lulu,utility,bronze
Nautilus,utility,bronze
Caitlyn,bottom,bronze
Kaisa,bottom,bronze
Caitlyn,bottom,bronze
Jinx,bottom,bronze
Sivir,bottom,bronze
Xayah,bottom,bronze
Jhin,bottom,bronze
LeeSin,jungle,bronze
Veigar,middle,bronze
Veigar,middle,bronze
Veigar,middle,bronze
Veigar,middle,bronze
Pantheon,middle,bronze
MasterYi,jungle,bronze
Veigar,middle,bronze
Veigar,middle,bronze
Veigar,middle,bronze
Jayce,middle,bronze
Nocturne,jungle,bronze
Nocturne,jungle,bronze
Nocturne,jungle,bronze
Nocturne,jungle,bronze
Nocturne,jungle,bronze
Nocturne,jungle,bronze
Nocturne,jungle,bronze
Nocturne,jungle,bronze
Nocturne,jungle,bronze
Nocturne,jungle,bronze
Graves,jungle,bronze
Yone,middle,bronze
Fiora,top,bronze
Viego,jungle,bronze
Graves,jungle,bronze
Graves,jungle,bronze
JarvanIV,jungle,bronze
Sylas,jungle,bronze
Briar,jungle,bronze
Maokai,jungle,bronze
Gragas,top,bronze
Nunu,middle,bronze
Graves,jungle,bronze
Neeko,middle,bronze
Neeko,middle,bronze
Gwen,jungle,bronze
Annie,middle,bronze
Neeko,middle,bronze
Neeko,middle,bronze
Neeko,middle,bronze
Neeko,middle,bronze
Diana,jungle,bronze
Diana,jungle,bronze
Nunu,jungle,bronze
Kindred,jungle,bronze
Kindred,jungle,bronze
Kindred,jungle,bronze
Nocturne,jungle,bronze
Kindred,jungle,bronze
Kindred,jungle,bronze
Seraphine,utility,bronze
Nami,utility,bronze
Diana,jungle,bronze
Nami,utility,bronze
Nami,utility,bronze
Ekko,jungle,bronze
Kayn,jungle,bronze
Elise,jungle,bronze
Briar,jungle,bronze
Kayn,jungle,bronze
Briar,jungle,bronze
Kayn,jungle,bronze
Kayn,jungle,bronze
Kayn,jungle,bronze
Kindred,jungle,bronze
Rammus,jungle,bronze
Sejuani,jungle,bronze
