champion,position,rank
Briar,jungle,diamond
Syndra,middle,diamond
Briar,jungle,diamond
Briar,jungle,diamond
Briar,jungle,diamond
Briar,jungle,diamond
Evelynn,jungle,diamond
Briar,jungle,diamond
Briar,jungle,diamond
Evelynn,jungle,diamond
RekSai,jungle,diamond
RekSai,jungle,diamond
RekSai,jungle,diamond
Sona,utility,diamond
Sona,utility,diamond
Senna,utility,diamond
Sona,utility,diamond
Soraka,utility,diamond
Sona,utility,diamond
Sona,utility,diamond
Janna,utility,diamond
Evelynn,jungle,diamond
Kayn,middle,diamond
Kayn,jungle,diamond
Kayn,jungle,diamond
Kayn,jungle,diamond
Kayn,jungle,diamond
Kayn,jungle,diamond
Kayn,jungle,diamond
Kayn,jungle,diamond
Kayn,jungle,diamond
Jinx,bottom,diamond
Caitlyn,bottom,diamond
Caitlyn,bottom,diamond
Caitlyn,bottom,diamond
Caitlyn,bottom,diamond
Caitlyn,bottom,diamond
Caitlyn,bottom,diamond
Caitlyn,bottom,diamond
Talon,middle,diamond
Talon,middle,diamond
Singed,top,diamond
Talon,middle,diamond
Talon,middle,diamond
Talon,middle,diamond
Singed,top,diamond
Talon,middle,diamond
Singed,top,diamond
Singed,top,diamond
Kaisa,bottom,diamond
Kaisa,bottom,diamond
Tristana,bottom,diamond
Jayce,top,diamond
Jayce,top,diamond
Twitch,bottom,diamond
Yone,top,diamond
Kaisa,bottom,diamond
Kaisa,bottom,diamond
Garen,top,diamond
Maokai,jungle,diamond
Taliyah,jungle,diamond
Maokai,jungle,diamond
JarvanIV,jungle,diamond
Sejuani,jungle,diamond
Caitlyn,bottom,diamond
Xayah,bottom,diamond
Caitlyn,bottom,diamond
Aatrox,top,diamond
Caitlyn,bottom,diamond
Caitlyn,bottom,diamond
Aatrox,top,diamond
Kaisa,bottom,diamond
Aatrox,top,diamond
Rengar,jungle,diamond
Rengar,jungle,diamond
Rengar,jungle,diamond
Neeko,top,diamond
Neeko,top,diamond
Neeko,top,diamond
Neeko,top,diamond
Neeko,top,diamond
Neeko,top,diamond
Neeko,top,diamond
Neeko,top,diamond
Neeko,top,diamond
Neeko,top,diamond
Jax,top,diamond
Jax,top,diamond
Fizz,middle,diamond
Fizz,middle,diamond
KSante,top,diamond
Tryndamere,top,diamond
Jax,top,diamond
Jax,top,diamond
Jax,top,diamond
Jax,top,diamond
Riven,top,diamond
Ezreal,bottom,diamond
Yone,middle,diamond
Zed,middle,diamond
Hecarim,jungle,diamond
Viego,jungle,diamond
Graves,jungle,diamond
Rengar,jungle,diamond
Graves,jungle,diamond
Rengar,jungle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Yasuo,middle,diamond
Ekko,middle,diamond
Yasuo,middle,diamond
KSante,top,diamond
Yasuo,top,diamond
Poppy,top,diamond
Khazix,jungle,diamond
Khazix,jungle,diamond
Yone,middle,diamond
KSante,middle,diamond
KSante,middle,diamond
KSante,middle,diamond
Yone,middle,diamond
TwistedFate,middle,diamond
Sylas,middle,diamond
