win,kills,deaths,dmgObj,dmgTurr,vision_score,totalDmg,totalDmgTaken,totalMinions,gold,position,time,rank
True,5.0,9.0,10836.0,7690.0,4.0,100441.0,24530.0,122.0,10397.0,middle,32.5,iron
True,11.0,2.0,25305.0,259.0,10.0,209141.0,32531.0,5.0,13126.0,jungle,31.683333333333334,iron
True,2.0,8.0,31843.0,445.0,10.0,137886.0,34941.0,5.0,9430.0,jungle,30.066666666666663,iron
False,2.0,15.0,5969.0,0.0,9.0,133485.0,38140.0,21.0,10275.0,jungle,34.28333333333333,iron
True,5.0,3.0,14292.0,1387.0,9.0,138374.0,29629.0,14.0,10481.0,jungle,27.633333333333333,iron
True,11.0,3.0,30220.0,615.0,11.0,161674.0,19657.0,7.0,12171.0,jungle,24.65,iron
False,0.0,9.0,4733.0,0.0,7.0,62497.0,17935.0,0.0,4216.0,jungle,16.466666666666665,iron
False,0.0,4.0,1166.0,1166.0,7.0,34286.0,7187.0,67.0,6807.0,middle,31.133333333333333,iron
False,0.0,5.0,0.0,0.0,3.0,16539.0,6724.0,39.0,2880.0,middle,14.433333333333334,iron
True,5.0,3.0,0.0,0.0,9.0,51418.0,9217.0,76.0,7152.0,middle,20.266666666666666,iron
False,6.0,10.0,15412.0,6343.0,7.0,264551.0,44779.0,256.0,17550.0,top,40.55,iron
True,6.0,5.0,3105.0,2765.0,10.0,69213.0,17237.0,81.0,9223.0,middle,28.35,iron
True,5.0,1.0,6682.0,1612.0,19.0,71659.0,15753.0,70.0,9419.0,middle,31.15,iron
False,3.0,5.0,9069.0,2942.0,10.0,103877.0,20530.0,99.0,8772.0,top,27.6,iron
False,6.0,10.0,4804.0,0.0,51.0,158733.0,47319.0,53.0,11289.0,jungle,33.81666666666667,iron
True,13.0,5.0,12505.0,5164.0,21.0,188836.0,21333.0,189.0,15310.0,bottom,34.13333333333333,iron
False,4.0,4.0,3781.0,2598.0,11.0,90077.0,11663.0,126.0,8130.0,bottom,26.9,iron
True,7.0,0.0,4671.0,2348.0,6.0,40951.0,2777.0,103.0,7393.0,bottom,15.366666666666667,iron
False,4.0,8.0,2433.0,220.0,11.0,104251.0,24272.0,142.0,10079.0,bottom,31.33333333333333,iron
True,11.0,3.0,22753.0,13243.0,23.0,180648.0,19561.0,175.0,14102.0,bottom,37.8,iron
True,6.0,7.0,18314.0,4429.0,20.0,167749.0,19191.0,172.0,13821.0,bottom,36.05,iron
True,8.0,3.0,5979.0,1070.0,16.0,131419.0,13241.0,181.0,12179.0,bottom,30.133333333333333,iron
True,4.0,3.0,44000.0,735.0,10.0,166795.0,32371.0,30.0,10475.0,jungle,27.816666666666663,iron
True,7.0,2.0,37491.0,588.0,7.0,181522.0,33900.0,36.0,11728.0,jungle,26.78333333333333,iron
True,3.0,4.0,7791.0,520.0,1.0,56465.0,24675.0,51.0,8857.0,middle,33.7,iron
True,0.0,4.0,1690.0,190.0,4.0,43556.0,17207.0,58.0,7509.0,middle,32.56666666666667,iron
False,1.0,3.0,2600.0,28.0,2.0,79751.0,17493.0,91.0,8640.0,middle,33.45,iron
False,8.0,12.0,6245.0,0.0,5.0,106579.0,55681.0,82.0,14170.0,middle,55.016666666666666,iron
False,7.0,4.0,261.0,78.0,0.0,47030.0,24710.0,46.0,8430.0,jungle,28.766666666666666,iron
True,9.0,4.0,7462.0,1284.0,6.0,78690.0,19003.0,74.0,11794.0,middle,34.56666666666667,iron
False,1.0,9.0,749.0,400.0,3.0,52642.0,22634.0,57.0,6863.0,middle,34.266666666666666,iron
True,2.0,3.0,2607.0,404.0,0.0,65752.0,12477.0,82.0,9311.0,middle,33.88333333333333,iron
False,0.0,3.0,21.0,0.0,0.0,32062.0,14666.0,48.0,4235.0,middle,24.35,iron
False,1.0,6.0,124.0,0.0,3.0,28834.0,13057.0,41.0,5136.0,middle,26.7,iron
False,7.0,12.0,8919.0,150.0,15.0,57081.0,21747.0,71.0,8517.0,top,27.23333333333333,iron
